,status_group,amount_tsh,count_month,funder,gps_height,installer,basin,public_meeting,permit,construction_year,extraction_type_class,management,payment,quality_group,quantity,source,source_class,missing_construction_year
20063,1,250.0,3,6,1871.0,4,1,2,2,1997.0,3,1,1,5,2,8,0,False
15190,1,250.0,3,2,1421.0,1,1,2,2,2011.0,5,9,1,2,0,1,0,False
46416,2,100.0,3,8,987.0,6,7,2,1,1994.0,3,2,2,5,0,8,0,False
4277,0,250.0,3,6,411.0,4,4,2,2,1975.0,4,9,3,0,4,8,0,False
12781,2,250.0,3,2,1299.0,4,5,2,1,2009.0,5,9,3,5,0,1,0,False
41828,0,500.0,4,6,1889.0,4,3,2,2,2009.0,5,6,2,5,4,1,0,False
1316,2,500.0,3,2,1247.0,3,7,2,2,2007.0,5,9,2,5,3,1,0,False
32635,1,250.0,4,8,1166.0,6,6,2,2,2000.0,5,2,0,5,3,3,2,True
49501,2,250.0,3,6,1166.0,4,8,2,1,2000.0,3,2,1,5,3,6,0,True
25032,0,500.0,4,4,298.0,1,3,2,2,1996.0,3,9,2,5,3,8,0,False
57329,0,250.0,3,6,383.0,4,4,2,2,1982.0,0,9,1,5,2,6,0,False
22020,0,250.0,4,6,107.0,4,3,2,1,2003.0,3,9,1,5,4,8,0,False
3411,2,1000.0,4,0,324.0,4,0,2,2,2005.0,0,9,2,5,3,6,0,False
38487,2,500.0,4,6,1647.0,1,3,2,1,2008.0,5,9,2,5,3,1,0,False
47146,0,250.0,3,6,402.0,4,4,2,2,1975.0,2,9,1,0,3,6,0,False
3763,0,250.0,4,6,1166.0,4,8,2,2,2000.0,4,9,1,5,3,8,0,True
35175,0,250.0,3,2,1398.0,1,2,1,2,1972.0,5,9,1,5,3,1,0,False
31233,1,250.0,3,6,1147.0,4,2,2,1,1999.0,5,6,3,5,0,7,2,False
42017,2,10.0,3,6,769.0,4,2,2,2,2001.0,5,6,4,5,3,1,0,False
37295,0,250.0,4,6,1166.0,1,8,2,2,2000.0,3,9,1,5,0,8,0,True
32043,1,250.0,3,2,965.0,3,4,0,2,1977.0,5,7,3,5,2,1,0,False
23720,0,250.0,4,2,478.0,9,2,2,1,1973.0,0,9,1,5,3,1,0,False
51743,0,250.0,3,2,1536.0,1,2,1,2,1972.0,5,9,1,5,3,1,0,False
32874,2,50.0,3,6,1413.0,4,8,2,2,1972.0,5,1,4,0,3,6,0,False
28132,2,250.0,4,10,1166.0,8,6,2,1,2000.0,3,9,0,5,0,8,0,True
39557,0,250.0,4,2,272.0,1,3,2,2,1979.0,5,9,3,0,0,3,2,False
24874,1,250.0,3,6,1057.0,4,5,2,1,2000.0,5,8,2,5,3,3,2,False
16780,0,250.0,3,6,1166.0,4,5,2,2,2000.0,4,9,1,4,3,8,0,True
55193,1,250.0,4,5,1166.0,1,8,2,1,2000.0,3,2,1,5,3,8,0,True
40342,0,250.0,4,7,1166.0,1,8,2,2,2000.0,4,9,1,4,2,8,0,True
35220,2,250.0,3,2,1018.0,1,2,1,2,1974.0,5,9,3,5,0,1,0,False
30152,0,250.0,3,6,1380.0,4,5,2,1,2004.0,5,9,3,5,0,1,0,False
10002,2,250.0,4,6,1166.0,5,8,2,2,2000.0,3,9,2,5,3,6,0,True
33487,1,250.0,4,6,357.0,9,0,2,2,1983.0,5,9,1,5,3,3,2,False
42897,0,50.0,3,6,975.0,1,4,2,2,2009.0,4,9,4,5,4,3,2,False
53267,2,500.0,4,6,1766.0,1,3,2,2,2009.0,5,6,2,5,3,3,2,False
34116,2,250.0,4,6,1166.0,4,8,2,2,2000.0,5,9,1,5,3,1,0,True
47511,1,200.0,4,2,551.0,4,3,2,2,1984.0,5,9,2,5,3,3,2,False
27880,2,250.0,4,2,1510.0,1,2,2,2,2007.0,5,9,1,5,3,1,0,False
38144,2,250.0,4,6,1166.0,4,8,2,1,2000.0,5,9,1,5,3,1,0,True
15766,2,250.0,3,6,1430.0,4,1,2,2,2000.0,5,9,1,5,0,1,0,False
43591,2,3000.0,4,10,1869.0,0,7,2,1,1991.0,5,9,5,5,3,1,0,False
28197,1,250.0,4,2,1166.0,3,6,2,2,2000.0,5,9,2,5,3,3,2,True
58243,2,500.0,3,6,1262.0,4,7,2,2,2002.0,5,8,2,5,3,1,0,False
47740,2,250.0,3,6,1500.0,4,1,2,2,2008.0,5,4,2,5,0,1,0,False
34060,0,250.0,3,6,1508.0,4,5,2,2,2001.0,5,8,2,5,3,3,2,False
52354,0,250.0,4,8,1166.0,4,7,2,2,2000.0,5,9,2,5,4,1,0,True
8819,0,10.0,4,2,292.0,1,3,2,2,1976.0,5,9,4,5,0,3,2,False
49711,1,250.0,3,6,1406.0,4,1,2,2,2008.0,5,2,3,2,0,1,0,False
23804,0,250.0,3,1,914.0,4,7,0,2,2008.0,2,9,3,5,4,3,2,False
53726,1,500.0,3,6,908.0,9,5,2,2,1985.0,5,9,2,5,2,3,2,False
853,1,250.0,3,6,353.0,4,4,2,2,2012.0,5,9,1,5,3,1,0,False
32712,0,250.0,3,6,1166.0,4,6,2,2,2000.0,4,9,1,1,4,8,0,True
7326,0,250.0,4,2,1166.0,1,8,2,2,2000.0,0,9,1,5,4,6,0,True
631,1,250.0,4,2,1166.0,4,1,2,1,2000.0,5,9,1,5,3,1,0,True
30499,1,250.0,4,9,1166.0,1,1,0,1,2000.0,6,1,3,5,0,7,2,True
58097,1,250.0,4,6,1166.0,4,3,2,2,2000.0,5,9,5,5,2,3,2,True
32335,1,250.0,3,6,1441.0,4,2,2,2,1973.0,5,9,3,5,3,1,0,False
35912,0,250.0,4,6,1166.0,4,3,2,2,2000.0,5,9,1,5,2,3,2,True
8556,2,250.0,4,6,1166.0,1,1,2,1,2000.0,3,2,0,0,3,5,0,True
18314,2,250.0,4,6,1166.0,5,8,2,2,2000.0,3,9,1,5,3,8,0,True
43337,1,250.0,3,6,1249.0,4,8,0,2,2010.0,3,9,3,5,0,5,0,False
16282,2,250.0,4,6,1664.0,1,6,2,1,1994.0,3,9,1,5,3,8,0,False
53080,0,250.0,3,8,1517.0,6,7,0,2,1993.0,5,9,3,5,4,1,0,False
37809,1,250.0,4,2,1166.0,1,8,2,2,2000.0,3,9,1,4,3,8,0,True
3209,1,1000.0,4,6,1732.0,4,2,2,2,1989.0,5,9,2,5,3,1,0,False
30909,0,20.0,3,6,735.0,4,2,2,2,2008.0,5,3,4,5,0,1,0,False
47455,0,250.0,4,6,9.0,1,0,2,2,2004.0,2,9,1,0,4,3,2,False
27012,2,2000.0,4,6,1235.0,4,8,2,2,1989.0,3,9,2,5,3,8,0,False
23899,1,250.0,4,6,1166.0,1,8,2,2,2000.0,5,9,1,5,3,1,0,True
28210,1,500.0,3,6,774.0,4,5,2,2,1994.0,3,9,2,5,0,8,0,False
34058,1,20.0,4,6,21.0,1,2,2,1,2010.0,0,9,4,0,3,3,2,False
27940,1,250.0,4,6,1166.0,1,1,2,1,2000.0,5,9,1,5,0,1,0,True
14855,1,250.0,4,7,1150.0,1,8,2,2,2001.0,4,9,1,5,0,1,0,False
27024,1,250.0,3,6,1382.0,4,5,2,2,2002.0,5,8,2,5,3,3,2,False
36307,2,250.0,5,6,1497.0,4,3,2,2,2010.0,5,6,0,5,3,3,2,False
42917,1,250.0,3,6,1166.0,4,1,2,2,2000.0,5,1,1,5,2,7,2,True
50875,2,250.0,4,2,294.0,9,2,2,1,1972.0,5,9,1,5,0,1,0,False
42567,2,1000.0,3,6,1415.0,4,2,2,2,2010.0,5,9,5,5,3,1,0,False
48120,2,200.0,3,9,587.0,4,4,2,1,2004.0,3,9,2,5,3,6,0,False
29309,1,600.0,3,6,834.0,1,5,2,2,2009.0,5,9,2,5,3,3,2,False
42810,0,250.0,3,6,1253.0,4,8,2,2,1993.0,3,9,3,0,3,8,0,False
22015,2,250.0,4,7,1166.0,1,8,2,2,2000.0,5,9,5,5,3,1,0,True
9288,1,500.0,3,6,228.0,4,4,2,2,2004.0,5,9,2,5,3,1,0,False
22901,1,250.0,3,7,1166.0,1,8,2,2,2000.0,3,9,1,5,0,8,0,True
269,2,100.0,3,6,338.0,4,4,2,2,1974.0,2,9,4,0,3,6,0,False
20312,0,14000.0,4,6,1149.0,1,6,2,2,1995.0,3,9,5,5,2,5,0,False
15008,1,1000.0,4,6,1911.0,1,6,1,1,2006.0,5,9,5,5,0,3,2,False
6329,0,250.0,4,6,267.0,4,3,2,2,2007.0,3,9,1,5,0,8,0,False
20861,2,250.0,4,2,1194.0,1,2,2,2,1981.0,5,9,1,5,3,1,0,False
57745,0,250.0,3,2,989.0,1,2,2,2,1978.0,5,9,1,5,3,1,0,False
14869,0,5000.0,3,3,523.0,4,2,2,0,1994.0,5,9,5,5,3,3,2,False
20640,0,1000.0,3,9,582.0,4,4,2,1,2008.0,3,9,5,5,0,6,0,False
38703,2,250.0,4,10,1166.0,8,6,2,1,2000.0,3,9,0,5,3,8,0,True
48720,1,600.0,3,6,824.0,1,5,2,2,2009.0,5,9,2,5,3,3,2,False
37025,0,250.0,3,2,1343.0,9,2,2,2,1978.0,5,9,3,5,3,1,0,False
139,2,250.0,4,9,1166.0,4,8,2,2,2000.0,5,9,1,5,3,7,2,True
54906,1,250.0,3,6,1395.0,1,5,0,1,1993.0,5,7,3,5,3,1,0,False
13949,2,200.0,4,6,210.0,4,3,2,2,2005.0,3,9,2,5,0,8,0,False
21026,2,50.0,3,9,273.0,4,4,2,1,2008.0,3,9,4,0,0,6,0,False
29986,1,2000.0,3,6,1107.0,2,5,2,2,1984.0,4,9,0,5,0,6,0,False
38414,1,250.0,4,2,1166.0,4,3,2,2,2000.0,2,9,4,5,0,6,0,True
13786,2,5.0,3,6,1453.0,7,2,2,2,2006.0,5,8,4,5,3,1,0,False
25762,2,250.0,4,6,1166.0,1,8,2,2,2000.0,3,9,1,5,3,8,0,True
15703,1,500.0,3,2,1896.0,1,2,2,2,1990.0,5,9,0,5,3,1,0,False
38328,1,250.0,3,2,1180.0,4,2,2,2,2010.0,5,1,2,5,2,7,2,False
50430,0,250.0,3,8,830.0,6,4,2,2,1983.0,5,9,0,5,4,3,2,False
57384,0,250.0,4,6,1166.0,4,7,2,2,2000.0,5,9,1,5,4,1,0,True
31072,1,30.0,3,2,155.0,4,4,1,1,2010.0,5,6,4,5,3,3,2,False
54345,0,4000.0,3,2,535.0,3,2,2,2,1988.0,5,9,5,5,3,3,2,False
22529,0,250.0,3,2,1166.0,1,5,1,2,2000.0,2,9,1,5,3,2,2,True
24599,2,250.0,3,2,1259.0,1,2,2,2,1975.0,5,9,3,5,0,1,0,False
53555,0,250.0,4,2,1265.0,3,8,0,2,1975.0,5,9,3,5,3,6,0,False
8212,1,250.0,4,6,1166.0,0,0,2,1,2000.0,2,9,4,5,0,6,0,True
30922,0,250.0,3,6,1216.0,1,5,0,2,1990.0,3,9,3,5,0,6,0,False
42453,2,50.0,4,6,-20.0,4,0,2,2,2011.0,3,5,4,5,3,8,0,False
7547,1,250.0,3,1,1293.0,4,5,0,1,2010.0,5,7,3,3,1,7,2,False
49236,1,250.0,4,2,273.0,1,3,2,2,1986.0,3,9,1,5,3,8,0,False
5769,2,250.0,3,6,1711.0,4,2,2,2,2008.0,5,8,2,5,3,1,0,False
36546,1,250.0,4,3,1166.0,1,8,2,2,2000.0,5,7,1,5,2,7,2,True
46197,1,250.0,4,6,1327.0,4,0,2,2,1974.0,5,9,1,5,3,3,2,False
4665,2,250.0,3,5,1166.0,4,1,2,2,2000.0,3,2,1,0,3,8,0,True
55938,2,250.0,4,6,38.0,1,0,2,2,2004.0,3,9,1,5,0,3,2,False
34293,0,250.0,4,6,1166.0,4,8,2,2,2000.0,4,9,2,0,0,8,0,True
51484,0,250.0,4,7,1166.0,1,8,2,2,2000.0,4,9,2,3,2,8,0,True
56351,0,250.0,3,6,392.0,4,4,2,2,1982.0,0,9,1,5,2,6,0,False
19430,2,250.0,4,6,1166.0,4,7,2,0,2000.0,5,9,1,5,0,1,0,True
5885,1,250.0,4,3,1166.0,1,8,2,2,2000.0,5,9,1,5,2,1,0,True
25989,1,250.0,3,6,1351.0,4,8,1,1,2006.0,3,2,3,0,0,8,0,False
4890,1,250.0,3,6,347.0,4,4,2,2,1982.0,0,9,1,5,2,6,0,False
54168,1,250.0,4,10,1166.0,8,6,2,1,2000.0,3,9,0,5,3,8,0,True
53502,2,1000.0,4,10,1872.0,0,7,2,1,1996.0,5,9,5,5,3,1,0,False
1941,2,250.0,4,2,1452.0,1,2,2,2,2007.0,5,9,1,5,3,1,0,False
52234,0,250.0,4,6,58.0,4,0,2,1,2004.0,3,9,1,5,4,8,0,False
46382,2,250.0,4,6,1166.0,4,8,2,2,2000.0,3,9,1,5,0,8,0,True
9407,1,250.0,3,6,1166.0,4,8,2,1,2000.0,2,9,5,5,3,2,2,True
25284,0,2000.0,4,6,1830.0,4,6,2,1,2003.0,3,9,5,0,3,6,0,False
39424,2,50.0,4,6,105.0,4,0,2,2,2010.0,2,5,4,5,0,3,2,False
18209,0,250.0,4,6,1541.0,4,5,2,1,1993.0,4,9,3,3,1,8,0,False
4808,0,500.0,3,6,765.0,7,2,2,2,2010.0,5,8,3,5,3,1,0,False
45394,2,20.0,3,6,791.0,4,2,2,2,2004.0,5,3,4,5,0,1,0,False
5521,0,250.0,4,6,1663.0,1,6,2,2,1985.0,5,9,1,5,3,3,2,False
54764,2,250.0,3,6,1293.0,4,2,2,2,1993.0,5,9,3,5,0,1,0,False
8824,0,1000.0,3,6,1377.0,4,2,2,1,1982.0,5,9,2,5,3,1,0,False
6581,2,50.0,3,6,60.0,4,0,0,1,2010.0,0,2,1,5,3,6,0,False
37139,1,250.0,3,2,951.0,1,2,1,2,1975.0,5,9,3,5,0,1,0,False
21741,2,250.0,4,8,1705.0,4,3,2,2,1978.0,5,9,1,5,3,1,0,False
40826,2,5.0,3,6,1072.0,1,2,2,2,2007.0,5,8,4,5,3,3,2,False
17300,1,250.0,3,6,329.0,4,4,2,2,1998.0,5,9,1,5,3,1,0,False
21897,1,5000.0,4,6,1975.0,4,3,2,2,2009.0,5,6,5,5,3,3,2,False
2015,2,250.0,4,6,342.0,4,0,2,2,2004.0,0,9,1,0,3,6,0,False
16341,2,250.0,4,6,1656.0,4,7,2,1,1998.0,5,9,1,5,0,1,0,False
3394,0,250.0,4,6,67.0,4,0,2,1,2010.0,3,9,1,0,3,8,0,False
7637,0,250.0,3,6,1166.0,4,5,2,2,2000.0,3,2,3,5,4,6,0,True
32744,2,250.0,3,6,1407.0,1,1,2,2,1996.0,3,9,1,5,3,8,0,False
12230,2,250.0,3,2,1422.0,1,5,2,2,2001.0,5,3,3,5,3,1,0,False
7897,2,25.0,4,6,1166.0,4,2,1,2,2005.0,0,9,4,5,3,1,0,False
22690,0,250.0,4,8,1166.0,4,7,2,2,2000.0,5,9,1,5,4,1,0,True
8325,1,250.0,4,6,1166.0,4,0,2,2,2000.0,3,9,2,5,3,8,0,True
4349,0,250.0,4,6,1166.0,0,0,2,1,2000.0,2,5,4,5,4,6,0,True
37974,2,250.0,3,6,1404.0,4,2,2,2,2005.0,5,9,1,5,0,1,0,False
17231,0,250.0,3,2,991.0,4,2,2,2,1963.0,5,9,1,5,0,1,0,False
47406,1,250.0,3,6,1384.0,1,5,2,1,2007.0,5,9,3,5,0,1,0,False
40654,2,1200.0,3,2,1240.0,1,5,2,2,1977.0,5,8,5,5,3,3,2,False
55597,1,250.0,3,1,1438.0,4,5,2,1,2009.0,5,8,3,5,0,7,2,False
31249,0,250.0,3,6,963.0,4,2,2,2,2012.0,4,9,3,5,3,6,0,False
46303,2,50.0,3,6,1562.0,4,1,2,0,2000.0,3,9,4,5,0,8,0,False
51997,0,10.0,4,6,1166.0,4,0,2,2,1984.0,0,9,4,5,0,6,0,False
42903,0,30.0,3,6,1225.0,4,8,2,1,1980.0,0,9,4,0,3,6,0,False
25558,0,250.0,4,7,1166.0,4,8,2,1,2000.0,3,9,5,5,3,6,0,True
59320,0,70.0,3,6,194.0,4,4,2,2,1978.0,0,9,4,5,3,6,0,False
2333,0,250.0,4,2,1262.0,3,8,0,2,1975.0,5,9,3,5,3,6,0,False
16871,0,250.0,4,2,152.0,1,2,2,1,2003.0,3,9,1,5,0,8,0,False
11519,1,500.0,3,6,945.0,4,4,2,2,2007.0,5,9,2,4,3,1,0,False
47050,2,250.0,4,6,1166.0,4,8,2,2,2000.0,3,9,2,5,0,6,0,True
21478,0,250.0,4,6,279.0,4,3,2,2,2002.0,4,9,1,5,0,8,0,False
39692,1,250.0,4,10,1166.0,8,6,1,1,2000.0,3,9,0,5,0,8,0,True
18485,0,250.0,3,2,881.0,1,2,1,1,1963.0,5,9,3,5,0,1,0,False
48614,2,250.0,4,10,1166.0,8,7,2,1,2000.0,3,9,0,5,3,8,0,True
1016,0,250.0,4,4,270.0,9,3,2,2,1980.0,3,9,1,5,0,8,0,False
7164,1,250.0,4,6,1166.0,4,3,2,1,2000.0,5,6,1,5,2,3,2,True
29404,0,250.0,4,6,1166.0,4,5,2,2,2000.0,4,9,1,0,3,8,0,True
34012,1,250.0,4,7,1166.0,1,8,2,2,2000.0,3,9,1,5,3,8,0,True
6349,0,50.0,4,10,1989.0,4,3,2,2,2006.0,5,9,4,5,3,6,0,False
34672,2,250.0,4,6,379.0,4,0,2,2,2009.0,4,5,1,0,0,4,1,False
36076,0,250.0,3,0,376.0,4,4,1,2,2012.0,3,9,3,4,4,6,0,False
1244,2,250.0,4,6,1166.0,4,8,2,2,2000.0,3,9,1,5,0,8,0,True
35897,0,250.0,4,9,1166.0,1,7,2,2,2000.0,3,9,1,5,4,5,0,True
33238,1,250.0,3,6,1278.0,4,5,2,2,1984.0,5,8,2,5,3,3,2,False
40469,2,250.0,3,6,1236.0,4,5,2,2,1999.0,5,8,2,5,3,3,2,False
2022,0,250.0,3,6,1103.0,4,1,2,1,1974.0,2,9,3,5,3,6,0,False
59071,1,250.0,3,6,1513.0,4,5,2,2,2001.0,5,8,2,5,3,3,2,False
51871,2,250.0,3,6,1054.0,4,1,2,2,2008.0,5,1,1,5,2,7,2,False
35609,0,250.0,4,2,1166.0,4,3,2,2,2000.0,2,9,3,5,4,6,0,True
11620,1,500.0,4,2,892.0,1,3,2,2,1980.0,5,6,2,5,3,3,2,False
32887,0,250.0,4,6,503.0,4,0,2,2,1981.0,4,9,1,5,3,8,0,False
32929,0,250.0,4,2,441.0,9,2,2,1,1975.0,0,9,1,5,3,3,2,False
11730,2,200.0,3,6,810.0,4,4,2,2,2002.0,5,9,2,5,2,3,2,False
21992,0,300.0,4,6,689.0,4,0,2,2,1997.0,3,9,2,5,0,8,0,False
2938,0,250.0,3,2,1166.0,3,1,2,1,2000.0,4,9,3,5,3,6,0,True
48880,1,250.0,4,6,1166.0,0,1,2,1,2000.0,5,9,1,5,3,1,0,True
5307,1,250.0,4,6,1166.0,4,7,2,0,2000.0,5,9,1,5,0,3,2,True
920,0,50.0,3,6,761.0,4,4,1,1,2009.0,0,5,4,5,3,2,2,False
11429,2,250.0,5,6,1166.0,4,7,2,2,2000.0,5,9,1,5,3,1,0,True
7448,2,200.0,4,6,1594.0,4,3,2,2,1996.0,5,6,2,5,3,3,2,False
39035,0,250.0,3,6,1166.0,4,8,1,1,2000.0,3,9,1,5,3,8,0,True
47011,0,250.0,3,6,1186.0,5,8,2,1,1983.0,0,9,1,5,3,0,2,False
28498,0,3000.0,4,6,1134.0,4,7,2,1,1986.0,5,9,2,5,4,1,0,False
56853,0,2000.0,4,4,125.0,1,0,2,2,1996.0,4,9,2,0,2,8,0,False
30806,2,6.0,3,6,751.0,1,2,2,2,2008.0,5,8,4,5,3,1,0,False
31016,0,250.0,3,6,1220.0,2,5,2,2,1985.0,4,3,1,5,3,6,0,False
44304,1,250.0,3,6,1392.0,4,2,2,2,2005.0,5,9,1,5,0,1,0,False
52580,2,250.0,3,6,981.0,4,1,2,2,2006.0,5,9,1,5,3,3,2,False
57277,2,250.0,3,8,1015.0,6,7,2,1,1989.0,3,2,0,5,3,8,0,False
32622,2,250.0,4,2,71.0,4,0,2,1,1978.0,5,9,1,5,3,3,2,False
58511,1,250.0,4,6,1166.0,4,3,2,2,2000.0,5,9,1,5,2,3,2,True
27081,0,500.0,4,6,1051.0,4,0,2,2,1982.0,4,9,0,5,3,8,0,False
49257,1,250.0,3,6,1339.0,1,8,1,1,1997.0,3,2,1,5,3,8,0,False
55011,2,250.0,4,7,1166.0,1,8,2,2,2000.0,3,9,1,5,3,8,0,True
54683,0,250.0,3,2,1190.0,4,2,2,2,1974.0,5,4,1,5,3,1,0,False
44473,2,20.0,3,2,1014.0,1,2,2,2,2010.0,5,9,4,5,3,1,0,False
28798,2,50.0,4,6,309.0,4,2,2,2,1999.0,0,9,4,5,3,3,2,False
30054,2,250.0,4,10,1166.0,8,6,1,1,2000.0,3,9,0,5,2,8,0,True
31856,2,500.0,4,1,1623.0,1,3,2,2,1978.0,5,6,2,5,3,3,2,False
18999,1,250.0,3,6,1371.0,4,5,2,2,2002.0,5,8,2,5,3,3,2,False
13828,0,250.0,4,2,1166.0,4,0,2,2,2000.0,2,9,3,5,4,6,0,True
50163,1,250.0,4,6,1166.0,4,1,1,1,2000.0,5,1,3,5,2,7,2,True
34341,2,250.0,4,7,1166.0,1,8,2,2,2000.0,3,9,1,5,3,8,0,True
20899,1,1000.0,3,6,1348.0,4,5,2,1,2003.0,5,9,5,5,3,3,2,False
51593,0,250.0,4,7,1166.0,1,8,2,2,2000.0,3,9,1,5,0,8,0,True
58612,0,250.0,4,6,1166.0,4,1,2,2,2000.0,4,2,1,5,0,8,0,True
17555,0,50.0,3,6,1139.0,1,8,2,2,2008.0,5,9,4,5,3,0,2,False
34421,1,250.0,4,7,1166.0,1,8,2,2,2000.0,5,9,1,5,3,1,0,True
28292,1,600.0,3,6,976.0,1,5,2,2,2008.0,5,9,2,5,3,3,2,False
45668,1,250.0,4,6,1166.0,4,3,2,2,2000.0,5,6,1,4,2,3,2,True
59275,1,250.0,3,3,665.0,4,2,2,0,2011.0,5,7,1,5,0,7,2,False
49290,2,10.0,3,6,1530.0,4,1,2,2,1994.0,5,9,4,5,2,3,2,False
47578,2,250.0,4,6,1166.0,1,6,2,2,2000.0,3,9,0,5,0,8,0,True
723,0,250.0,3,3,1166.0,4,5,2,2,2000.0,3,2,3,5,3,6,0,True
50364,2,5000.0,4,6,110.0,4,0,2,2,2010.0,2,5,2,5,0,3,2,False
12447,1,250.0,4,6,1166.0,4,3,1,2,2000.0,5,8,1,4,2,3,2,True
26944,0,250.0,4,6,1172.0,4,2,2,1,2007.0,5,5,1,5,0,1,0,False
44127,1,250.0,3,8,1643.0,6,7,0,2,1995.0,5,9,1,5,3,1,0,False
33955,1,5000.0,3,6,1960.0,4,1,2,2,1976.0,5,9,5,5,3,3,2,False
39008,2,250.0,3,6,1166.0,4,5,2,2,2000.0,3,9,1,1,3,8,0,True
12182,2,50.0,4,6,505.0,4,0,2,2,2008.0,3,9,4,5,3,8,0,False
